testcase,protocol,bandwidth,start_time,end_time
firewall,tcp,200,"2022-05-06 15:45:02","2022-05-06 15:46:17"
firewall,tcp,400,"2022-05-06 15:46:20","2022-05-06 15:47:47"
firewall,tcp,600,"2022-05-06 15:47:49","2022-05-06 15:49:10"
firewall,tcp,800,"2022-05-06 15:49:12","2022-05-06 15:50:34"
firewall,tcp,1000,"2022-05-06 15:50:37","2022-05-06 15:51:59"
netsniff-ng,tcp,200,"2022-05-06 15:52:44","2022-05-06 15:53:59"
netsniff-ng,tcp,400,"2022-05-06 15:54:03","2022-05-06 15:55:27"
netsniff-ng,tcp,600,"2022-05-06 15:55:30","2022-05-06 15:56:55"
netsniff-ng,tcp,800,"2022-05-06 15:56:57","2022-05-06 15:58:22"
netsniff-ng,tcp,1000,"2022-05-06 15:58:24","2022-05-06 15:59:48"
snort-ids,tcp,200,"2022-05-06 16:01:15","2022-05-06 16:02:30"
snort-ids,tcp,400,"2022-05-06 16:02:33","2022-05-06 16:03:57"
snort-ids,tcp,600,"2022-05-06 16:04:00","2022-05-06 16:05:26"
snort-ids,tcp,800,"2022-05-06 16:05:28","2022-05-06 16:06:52"
snort-ids,tcp,1000,"2022-05-06 16:06:55","2022-05-06 16:08:19"
suricata-ids,tcp,200,"2022-05-06 16:09:34","2022-05-06 16:10:49"
suricata-ids,tcp,400,"2022-05-06 16:10:53","2022-05-06 16:12:17"
suricata-ids,tcp,600,"2022-05-06 16:12:20","2022-05-06 16:13:44"
suricata-ids,tcp,800,"2022-05-06 16:13:47","2022-05-06 16:15:12"
suricata-ids,tcp,1000,"2022-05-06 16:15:15","2022-05-06 16:16:40"
tcpdump,tcp,200,"2022-05-06 16:26:09","2022-05-06 16:27:26"
tcpdump,tcp,400,"2022-05-06 16:27:30","2022-05-06 16:28:50"
tcpdump,tcp,600,"2022-05-06 16:28:52","2022-05-06 16:30:14"
tcpdump,tcp,800,"2022-05-06 16:30:17","2022-05-06 16:31:42"
tcpdump,tcp,1000,"2022-05-06 16:31:44","2022-05-06 16:33:09"
"snort-ids,netsniff-ng,suricata-ids",tcp,200,"2022-05-06 16:35:33","2022-05-06 16:36:52"
"snort-ids,netsniff-ng,suricata-ids",tcp,400,"2022-05-06 16:36:55","2022-05-06 16:38:18"
"snort-ids,netsniff-ng,suricata-ids",tcp,600,"2022-05-06 16:38:20","2022-05-06 16:39:45"
"snort-ids,netsniff-ng,suricata-ids",tcp,800,"2022-05-06 16:39:48","2022-05-06 16:41:14"
"snort-ids,netsniff-ng,suricata-ids",tcp,1000,"2022-05-06 16:41:17","2022-05-06 16:42:42"
"snort-ids,firewall,tcpdump",tcp,200,"2022-05-06 16:46:26","2022-05-06 16:47:47"
"snort-ids,firewall,tcpdump",tcp,400,"2022-05-06 16:47:50","2022-05-06 16:55:51"
"snort-ids,tcpdump,firewall",tcp,200,"2022-05-06 17:02:59","2022-05-06 17:04:46"
"snort-ids,tcpdump,firewall",tcp,400,"2022-05-06 17:04:49","2022-05-06 17:06:14"
"snort-ids,tcpdump,firewall",tcp,600,"2022-05-06 17:06:17","2022-05-06 17:07:47"
"snort-ids,tcpdump,firewall",tcp,800,"2022-05-06 17:07:51","2022-05-06 17:09:15"
"snort-ids,tcpdump,firewall",tcp,1000,"2022-05-06 17:09:19","2022-05-06 17:10:41"
"netsniff-ng,suricata-ids,tcpdump",tcp,200,"2022-05-06 17:12:42","2022-05-06 17:14:01"
"netsniff-ng,suricata-ids,tcpdump",tcp,400,"2022-05-06 17:14:04","2022-05-06 17:15:31"
"netsniff-ng,suricata-ids,tcpdump",tcp,600,"2022-05-06 17:15:34","2022-05-06 17:17:01"
"netsniff-ng,suricata-ids,tcpdump",tcp,800,"2022-05-06 17:17:05","2022-05-06 17:18:32"
"netsniff-ng,suricata-ids,tcpdump",tcp,1000,"2022-05-06 17:18:35","2022-05-06 17:20:02"
